symbol,timestamp,price,rsi,macd,macd_signal,ema_trend,bollinger_pos,momentum,volatility,volume_relative_%,sentiment_score,signal
ATOM-USDT,2025-05-12 19:00:00,5.2272,43.645634036668646,-0.0016761689206488128,0.017502900144629404,0,0.03875793264877038,-0.7650688182249686,0.00360955379771144,75.40960747091695,0.0,NEUTRO
ETC-USDT,2025-05-12 19:00:00,19.5091,40.08170962589414,-0.08842751802919224,0.014208731487490165,0,0.035342314575850714,-1.981561031979305,0.0049037030169105655,69.36098542601545,0.0,NEUTRO
FIL-USDT,2025-05-12 19:00:00,3.0752,40.511280725630726,-0.014672735370881096,0.0036694564764526622,0,0.028937309959699266,-2.4303572561710767,0.009652636417361693,17.500470956349048,0.0,NEUTRO
XLM-USDT,2025-05-12 19:00:00,0.3087,43.666047329657886,0.0016229097477747367,0.002795665198445963,1,0.23359508658464342,-3.6817472698908063,0.0025982461838258697,29.27213232750604,0.0,NEUTRO
NEAR-USDT,2025-05-12 19:00:00,3.1164,44.71050993705122,-0.00838259052552548,0.006073990828743029,0,0.1454769397461601,-1.9228953579858425,0.014057008980866925,20.392292361833366,0.0,NEUTRO
ALGO-USDT,2025-05-12 19:00:00,0.2367,41.71359855686135,-0.000314244633762617,0.0010619640995718062,0,0.10335373338803341,-4.825090470446325,0.012403763900769915,30.457680059906988,0.0,NEUTRO
VET-USDT,2025-05-12 19:00:00,0.03054,39.57615484993368,-7.681713609128393e-05,0.00015564985711039739,0,0.032947723321747203,-3.3238366571699864,0.005266622778143493,20.838374898038026,0.0,NEUTRO
ICP-USDT,2025-05-12 19:00:00,5.658,40.84753069655569,0.005906298151841405,0.047720956440770596,1,0.06616573739918462,-3.414134516899954,0.0026581605528974706,31.362236476029633,0.0,NEUTRO
EOS-USDT,2025-05-12 19:00:00,0.8753,37.58330383568233,-0.008846288321035067,-0.0025192097493280073,0,0.056514856252069576,-2.332068734657446,0.010155799192152148,58.687106672245605,0.0,NEUTRO
AAVE-USDT,2025-05-12 19:00:00,217.329,44.951925624035646,-0.6910204121811887,0.020631747399322747,0,0.13555719972792005,-1.941506641640195,0.014527325095580634,44.31723241597961,0.0,NEUTRO
XTZ-USDT,2025-05-12 19:00:00,0.663,43.035953059468326,-1.572653406722857e-05,0.0035455546677030537,0,0.10033746656594751,-1.9230769230769247,0.009132420091324311,51.85144593487939,0.0,NEUTRO
SAND-USDT,2025-05-12 19:00:00,0.35178,43.65185124231608,-0.0005792849434792524,0.0013311872202039121,0,0.09602170201814918,-1.860789510391968,0.017381496370419525,71.70888169949762,0.0,NEUTRO
MANA-USDT,2025-05-12 19:00:00,0.35971,44.33643478221871,-0.0017497198679634063,-0.00040446015957955014,0,0.14720053059312618,-0.2606405101899492,0.015183585922727394,82.42096987605743,0.0,NEUTRO
THETA-USDT,2025-05-12 19:00:00,0.999,47.57195462516234,0.0012172460783137495,0.00559556746436876,1,0.31402825031524034,0.654911838790927,0.012158054711246313,94.95565527700244,0.0,NEUTRO
EGLD-USDT,2025-05-12 19:00:00,19.15,42.91309255187257,-0.06136812870373731,0.03546012188721258,0,0.09750258296349673,-1.8452075858534236,0.011087645195353657,61.467776358321494,0.0,NEUTRO
AXS-USDT,2025-05-12 19:00:00,3.074,44.57689637894006,-0.007142899003013792,0.00724361489919703,0,0.11715399522881692,-0.902643455834946,0.013517969007583286,24.47436126421491,0.0,NEUTRO
KSM-USDT,2025-05-12 19:00:00,22.9,66.45726899249348,1.0693867123805454,0.8806746770250344,1,0.7970814175338199,4.280510018214926,0.015521064301551979,19.446434593635434,0.0,NEUTRO
RUNE-USDT,2025-05-12 19:00:00,1.9036,53.68677214140554,0.03795645774153078,0.05292531295508844,1,0.4746127186444073,-0.9057782404997441,0.012337800467985494,25.593507444740425,0.0,NEUTRO
ZEC-USDT,2025-05-12 19:00:00,42.65,42.37727613896015,-0.15449718628310194,0.08758181824802995,0,0.09018099312518792,-1.259434180673251,0.00994553634856743,20.7656919809954,0.0,NEUTRO
DASH-USDT,2025-05-12 19:00:00,24.47,41.79522708678897,-0.024052377028272787,0.08440649037742466,0,0.0711914926399098,-1.8451664661050977,0.008656224237427734,14.99375737305629,0.0,NEUTRO
ENJ-USDT,2025-05-12 19:00:00,0.0939,41.44865241036613,-0.00028475894225166165,0.00023896072842986187,0,0.04759703310004559,-2.995867768595041,0.00859291084854985,28.11257434689661,0.0,NEUTRO
CHZ-USDT,2025-05-12 19:00:00,0.04751,45.49325474358086,-8.963190880658528e-05,9.600655674506314e-05,0,0.18394208592318978,-0.9589326662497437,0.01408751334044811,42.07587743711173,0.0,NEUTRO
GRT-USDT,2025-05-12 19:00:00,0.11592,40.564702289164266,-0.0007155903767264854,5.673442183067609e-05,0,0.07405375838711736,-2.3749368367862584,0.012490173814306837,103.43582295047536,0.0,NEUTRO
CRV-USDT,2025-05-12 19:00:00,0.7476,38.34556000117056,-0.007322745971158118,-0.003438929227236851,0,0.03868985965005601,-2.1722062287359263,0.006191117092866794,48.70524399179716,0.0,NEUTRO
SNX-USDT,2025-05-12 19:00:00,0.858,43.34495951865758,0.00012504834518578534,0.0065942692564512,1,0.15052730051929814,-2.8312570781426976,0.010600706713780994,8.335542216902507,0.0,NEUTRO
COMP-USDT,2025-05-12 19:00:00,46.04,40.05703566479293,-0.3628221843927335,-0.0344529030503435,0,0.05675395661906245,-2.2090059473237025,0.010979358805445871,2.0873658028196362,0.0,NEUTRO
YFI-USDT,2025-05-12 19:00:00,6080.4,37.66071945079199,-67.62087457661892,-24.490055403497017,0,0.009065295135984943,-3.0418614737943255,0.012345473465140477,34.87830847560725,0.0,NEUTRO
1INCH-USDT,2025-05-12 19:00:00,0.23128,45.362639658286454,-0.0006485572574444209,0.00031943396887724876,0,0.15740694835937166,-0.6913134956417193,0.017151904301169862,82.71315088531314,0.0,NEUTRO
