symbol,timestamp,price,rsi,macd,macd_signal,ema_trend,bollinger_pos,momentum,volatility,volume_relative_%,sentiment_score,signal,prediction,confidence,real_price,score_3h,delta_pct,trend_BTC-USDT,trend_ETH-USDT
BCH-USDT,2025-05-13 17:28:29,414.85,64.60112837271085,1.3625397427730943,-0.6629760023831491,1,1.0288096661571386,2.609448429384124,0.0019563327214762,39.54761703987921,0.0,NEUTRO,SHORT,0.7953683,,1,-0.7279739664939228,,
LINK-USDT,2025-05-13 17:28:29,17.6013,70.79691133402578,0.191460511443843,0.0569296580181904,1,1.0024458416030324,4.333058688938538,0.0009649058081655,52.46556242497843,0.0,NEUTRO,SHORT,0.9991912,,1,-0.7550578650440556,,
ATOM-USDT,2025-05-13 17:28:29,5.3118,62.58009390997995,0.0149890438914379,-0.0148731910931984,1,1.0279131253486211,3.0977058344008426,0.0006396748946417,68.58390899699206,0.0,NEUTRO,LONG,0.9013232,,0,0.06400843405248823,,
ETC-USDT,2025-05-13 17:28:29,20.8618,72.51085913123106,0.2356463555850716,0.0745457045496887,1,1.0306688291967354,4.478254772731815,0.0074076220277761,263.532724922476,0.0,NEUTRO,LONG,0.999524,,0,-0.46352663720291853,,
FIL-USDT,2025-05-13 17:28:29,3.2242,66.68867028564321,0.0238894169796037,-0.0014357094713704,1,0.9937606873056676,4.505380526384035,0.0016154085119604,39.01501043230595,0.0,NEUTRO,SHORT,0.9971079,,1,-0.6079027355623119,,
XLM-USDT,2025-05-13 17:28:29,0.3154,59.59138007855953,0.0009452151731903,-0.0002673037997731,1,0.9270018937386044,2.569105691056917,0.0003169572107765,45.57088317878947,0.0,NEUTRO,LONG,0.99918777,,0,0.03170577045021845,,
NEAR-USDT,2025-05-13 17:28:29,3.2475,63.42115223544228,0.0229606248217324,0.001901944921205,1,0.993249058143503,3.0723331323198018,0.001445175573458,61.52831185695848,0.0,NEUTRO,LONG,0.9266383,,0,0.14472671285604768,,
ALGO-USDT,2025-05-13 17:28:29,0.2483,63.18858771757779,0.0019476924793475,9.286142986224316e-05,1,0.9447548514683128,4.196391103650852,0.000804828973843,25.200650754220096,0.0,NEUTRO,LONG,0.85057783,,0,0.08054772452678444,,
VET-USDT,2025-05-13 17:28:29,0.0322,65.60587743600958,0.000251662967738,-3.184901359943274e-05,1,1.0175814596607724,5.33202486097481,0.0034045187248529,41.60900040512552,0.0,NEUTRO,SHORT,0.9994135,,1,-1.0559006211180124,,
ICP-USDT,2025-05-13 17:28:29,5.871,61.60774088556318,0.0350479630489521,-0.0028523477875723,1,0.9361228680444232,3.344481605351177,0.0008509189925118,41.75293549832516,0.0,NEUTRO,LONG,0.9979419,,1,0.37472321580649554,,
EOS-USDT,2025-05-13 17:28:29,0.8918,58.47241752299917,0.0010036434075099,-0.0043216002699594,1,0.928610332998512,0.996602491506232,0.0015723270440253,18.46688793812645,0.0,NEUTRO,LONG,0.99935466,,0,-0.15698587127159316,,
AAVE-USDT,2025-05-13 17:28:29,235.16,74.55125883614001,3.704545122821002,1.632684804730129,1,1.0001790945976037,3.6408269758791336,0.0001785699101197,81.45105864793351,0.0,NEUTRO,SHORT,0.9983557,,1,-0.8394284742303069,,
XTZ-USDT,2025-05-13 17:28:29,0.696,63.69883670953013,0.0055384732133566,0.0018317069190107,1,0.9665937517195792,2.9585798816567905,0.0057142857142856,105.01122382736423,0.0,NEUTRO,LONG,0.99951124,,1,0.5747126436781614,,
SAND-USDT,2025-05-13 17:28:29,0.36344,61.97792454501322,0.0021140963350419,-0.0002080678884602,1,0.937050760868412,3.606146127312636,0.0015933190484039,48.82039606441274,0.0,NEUTRO,LONG,0.9987213,,0,0.18985252036100153,,
MANA-USDT,2025-05-13 17:28:29,0.37728,64.3703541163776,0.0031090953635847,0.0008476319337943,1,0.97456953736506,3.2851511169513827,0.0006099986739158,19.288257616797026,0.0,NEUTRO,LONG,0.7759032,,0,-0.06096268023749152,,
THETA-USDT,2025-05-13 17:28:29,1.0613,67.38586371654486,0.0141755713611215,0.005196724413822,1,0.9935794224104516,4.871541501976274,0.0046891118822096,85.79926317531378,0.0,NEUTRO,SHORT,0.9997335,,1,-1.8373692641100399,,
EGLD-USDT,2025-05-13 17:28:29,20.43,65.58700303451991,0.2334603889769475,0.0665348669272942,1,0.9749619173629096,5.417956656346753,0.0039005363237446,9.162119896000386,0.0,NEUTRO,SHORT,0.9995696,,1,-0.7831620166421936,,
AXS-USDT,2025-05-13 17:28:29,3.307,62.95081871904115,0.0432608572362944,0.0297213722498442,1,0.8373835146388281,3.895695884385803,0.0,15.63633601261452,0.0,NEUTRO,SHORT,0.59795916,,1,-0.7862110674327124,,
KSM-USDT,2025-05-13 17:28:29,22.4,63.284919996480255,0.2761644109891108,0.1834596958306515,1,0.9798527456280666,4.672897196261683,0.0,30.61215852297393,0.0,NEUTRO,SHORT,0.8713719,,0,-0.22321428571427304,,
RUNE-USDT,2025-05-13 17:28:29,2.0408,59.34370834001252,0.040225446931313,0.0356827274306639,1,0.7442833177670389,0.864923639598679,0.0172870419415419,44.907527097865845,0.0,NEUTRO,LONG,0.937228,,1,1.7591140729125962,,
